"act_name","jurisdiction","Section","Heading","implement_type","responsible_official","discretion_type","Paragraph"
"Canada National Marine Conservation Areas Act","Federal","8","Facilities and research","study","minister","discretionary","(3) The Minister may maintain and operate facilities and carry out operations and activities to achieve the purposes of this Act, and may conduct scientific research and monitoring and carry out studies based on traditional ecological knowledge, including traditional aboriginal ecological knowledge, in relation to marine conservation areas."
"Canada National Marine Conservation Areas Act","Federal","9","Management plans","plan; protected_area; agreement; establishment","minister","mandatory","9 (1) The Minister shall, within five years after a marine conservation area is established, in consultation with relevant federal and provincial ministers and agencies, with affected coastal communities, aboriginal organizations, aboriginal governments and bodies established under land claims agreements, and with other persons and bodies that the Minister considers appropriate, prepare a management plan for the marine conservation area that includes a long-term ecological vision for the marine conservation area and provision for ecosystem protection, human use, zoning, public awareness and performance evaluation, which shall be tabled in each House of Parliament."
"Canada National Marine Conservation Areas Act","Federal","9","Review of management plans by Minister","plan; protected_area; review","minister","mandatory","(2) The Minister shall review the management plan for each marine conservation area at least every 10 years and shall cause any amendments to the plan to be tabled in each House of Parliament."
"Canada National Parks Act","Federal","11","Management plans","plan; park; establishment","minister","mandatory","11 (1) The Minister shall, within five years after a park is established, prepare a management plan for the park containing a long-term ecological vision for the park, a set of ecological integrity objectives and indicators and provisions for resource protection and restoration, zoning, visitor use, public awareness and performance evaluation, which shall be tabled in each House of Parliament."
"Canada National Parks Act","Federal","12","Public consultation","regulation; plan; policy; park; agreement; establishment","minister","mandatory","12 (1) The Minister shall, where applicable, provide opportunities for public participation at the national, regional and local levels, including participation by aboriginal organizations, bodies established under land claims agreements and representatives of park communities, in the development of parks policy and regulations, the establishment of parks, the formulation of management plans, land use planning and development in relation to park communities and any other matters that the Minister considers relevant."
"Canada National Parks Act","Federal","14","Wilderness areas","regulation; order_in_council; park","governor_in_council; council","discretionary","14 (1) The Governor in Council may, by regulation, declare any area of a park that exists in a natural state or that is capable of returning to a natural state to be a wilderness area."
"Canada National Parks Act","Federal","14","Maintaining character","empowerment","minister","discretionary","(2) The Minister may not authorize any activity to be carried on in a wilderness area that is likely to impair the wilderness character of the area."
"Canada National Parks Act","Federal","14","Exceptions","empowerment","minister","discretionary","(3) Notwithstanding subsection (2) but subject to any conditions that the Minister considers necessary, the Minister may authorize activities to be carried on in a wilderness area for purposes of"
"Canada National Parks Act","Federal","14","Time limit for declaration","order_in_council; plan; park","governor_in_council; minister; council","mandatory","(4) Where a new or amended management plan sets out an area of a park for declaration as a wilderness area, the Minister shall recommend such declaration to the Governor in Council within one year after the plan or amendment is tabled under section 11."
"Canada National Parks Act","Federal","18","Designation of park wardens","regulation; code; designation; park; appointment","minister; agency","discretionary","18 The Minister may designate persons appointed under the Parks Canada Agency Act, whose duties include the enforcement of this Act, to be park wardens for the enforcement of this Act and the regulations in any part of Canada and for the preservation and maintenance of the public peace in parks, and for those purposes park wardens are peace officers within the meaning of the Criminal Code."
